City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,whitehorse,60.7161,-135.0538,16.43,50,75,4.63,CA,1722314124
83,vila franca do campo,37.7167,-25.4333,22.23,93,20,1.46,PT,1722314125
84,iqaluit,63.7506,-68.5145,4.85,80,20,2.06,CA,1722314126
85,necochea,-38.5473,-58.7368,1.59,49,5,4.72,AR,1722314127
86,nadym,65.5333,72.5167,21.12,74,100,3.89,RU,1722314129
87,san rafael,-34.6177,-68.3301,8.44,39,100,3.98,AR,1722313958
88,klyuchi,52.2667,79.1667,27.17,34,8,1.16,RU,1722314131
89,hermanus,-34.4187,19.2345,7.11,61,100,2.14,ZA,1722314132
90,kodiak,57.79,-152.4072,13.73,58,100,2.57,US,1722314133
91,aasiaat,68.7098,-52.8699,3.15,87,100,2.44,GL,1722314135
92,les anglais,18.3054,-74.2197,25.45,84,99,1.49,HT,1722314136
93,malango,-2.9627,119.9001,25.19,79,63,1.74,ID,1722314137
94,usogorsk,63.4106,48.6872,20.96,58,41,1.58,RU,1722314138
95,ginir,7.1333,40.7,16.56,81,100,2.89,ET,1722314139
96,constantia,44.1833,28.65,22.61,46,87,7.04,RO,1722314141
97,invercargill,-46.4,168.35,4.45,81,89,4.02,NZ,1722314142
98,dunedin,-45.8742,170.5036,5.45,62,100,2.24,NZ,1722314143
99,kibungo,-2.1597,30.5427,19.51,56,66,0.35,RW,1722314144
100,tura,25.5198,90.2201,29.58,77,92,2.89,IN,1722314145
101,kamaishi,39.2667,141.8833,29.8,60,55,4.56,JP,1722314147
102,pella,59.7775,30.8181,19.03,71,43,3.67,RU,1722314148
103,qarqaraly,49.4058,75.4742,23.09,27,58,1.63,KZ,1722314149
104,berezovyy,51.6667,135.7,25.09,51,4,2.35,RU,1722314150
105,la mira,18.035,-102.3266,26.46,86,97,1.31,MX,1722314152
106,kempsey,-31.0833,152.8333,16.08,59,56,4.47,AU,1722314153
107,kozel'sk,54.0375,35.7716,14.82,94,92,3.97,RU,1722314154
108,margaret river,-33.95,115.0667,16.67,71,10,3.95,AU,1722314155
109,sitka,57.0531,-135.33,15.94,77,100,1.54,US,1722314016
110,gobabis,-22.45,18.9667,8.38,18,23,5.04,NA,1722314157
